iin_isam_id,logical_group,post_identifier,process_id,ticket_id,pending,naked,acked_with_failures
6335970A30002C,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A30002D,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A30002E,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A30002F,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300030,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300031,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300032,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300033,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300034,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300035,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300036,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300037,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300038,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A30008C,GWR - Euclid - LCID - Group B,eceliveisas3,11549,,1,0,0
